ID,POSITION,HEIGHT,WEIGHT,CAREER_STAGE,AGE,SPONSORSHIP_EARNINGS,SHOE_SPONSOR
1,forward,195,221,veteran,25,694,no
2,guard,192,200,mid-career,32,427,yes
3,center,207,247,veteran,27,1065,no
4,guard,185,197,mid-career,29,178,yes
5,center,206,246,mid-career,29,314,no
6,guard,182,199,rookie,21,1678,yes
7,center,207,247,veteran,27,1065,no
8,forward,202,220,mid-career,31,542,no
9,forward,195,221,veteran,25,694,no
10,forward,191,218,rookie,19,1855,no
11,center,195,235,mid-career,28,481,no
12,forward,190,215,rookie,22,1179,no
13,center,206,246,mid-career,29,314,no
14,center,206,246,mid-career,29,314,no
15,guard,178,193,rookie,21,1078,no
16,forward,202,220,mid-career,31,542,no
17,forward,192,219,rookie,22,1359,no
18,guard,182,199,rookie,21,1678,yes
19,guard,178,193,rookie,21,1078,no
20,forward,197,221,rookie,22,1312,no
21,forward,184,213,mid-career,32,12,no
22,forward,202,220,mid-career,31,542,no
23,center,218,251,mid-career,35,60,no
24,guard,178,193,rookie,21,1078,no
25,guard,185,207,rookie,23,1497,yes
26,center,201,244,mid-career,25,1111,yes
27,guard,166,188,rookie,21,1536,yes
28,center,218,251,mid-career,35,60,no
29,forward,198,221,rookie,22,1409,no
30,forward,202,220,mid-career,31,542,no
31,forward,192,218,veteran,29,561,yes
32,guard,185,207,rookie,23,1497,yes
33,forward,191,218,rookie,19,1855,no
34,forward,184,213,mid-career,32,12,no
35,center,207,247,veteran,27,1065,no
36,guard,185,207,rookie,23,1497,yes
37,guard,185,200,mid-career,31,213,yes
38,guard,158,184,veteran,29,162,yes
39,,196,235,veteran,32,47,no
40,center,196,235,veteran,32,47,no
41,forward,205,232,rookie,24,1416,no
42,forward,198,221,rookie,22,1409,no
43,,198,221,rookie,22,1409,no
44,forward,215,232,mid-career,30,434,no
45,guard,185,197,mid-career,29,178,yes
46,center,201,244,mid-career,25,1111,yes
47,center,201,244,mid-career,25,1111,yes
48,guard,185,197,mid-career,29,178,yes
49,center,201,244,mid-career,25,1111,yes
50,center,195,235,mid-career,28,481,no
51,guard,185,207,rookie,23,1497,yes
52,forward,190,215,rookie,22,1179,no
53,guard,192,200,mid-career,32,427,yes
54,guard,185,200,mid-career,31,213,yes
55,forward,197,221,rookie,22,1312,no
56,forward,198,223,veteran,29,362,yes
57,center,195,235,mid-career,28,481,no
58,forward,195,221,veteran,25,694,no
59,forward,202,220,mid-career,31,542,no
60,guard,189,199,mid-career,27,385,yes
61,forward,195,221,veteran,25,694,no
62,guard,190,207,mid-career,27,648,yes
63,forward,192,219,rookie,22,1359,no
64,guard,185,200,mid-career,31,213,yes
65,forward,198,221,rookie,22,1409,no
66,guard,169,183,rookie,24,1034,yes
67,guard,190,207,mid-career,27,648,yes
68,forward,191,218,rookie,19,1855,no
69,guard,189,199,mid-career,27,385,yes
70,forward,191,218,rookie,19,1855,no
71,forward,202,220,mid-career,31,542,no
72,center,218,251,,35,60,no
73,guard,192,200,mid-career,32,427,yes
74,forward,198,221,rookie,22,1409,no
75,guard,185,197,mid-career,29,178,yes
76,forward,198,221,rookie,22,1409,no
77,forward,195,221,veteran,25,694,no
78,guard,185,207,rookie,23,1497,yes
79,center,207,247,veteran,27,1065,no
80,guard,182,199,rookie,21,1678,yes
81,guard,185,197,mid-career,29,178,yes
82,forward,197,221,rookie,22,1312,no
83,guard,169,183,rookie,24,1034,yes
84,,158,184,veteran,29,162,yes
85,forward,192,219,rookie,22,1359,no
86,guard,190,207,mid-career,27,648,yes
87,guard,182,199,rookie,21,1678,yes
88,forward,192,219,rookie,22,1359,no
89,center,218,251,mid-career,35,60,no
90,center,201,244,mid-career,25,1111,yes
91,guard,166,188,rookie,21,1536,yes
92,forward,184,213,mid-career,32,12,no
93,forward,205,232,rookie,24,1416,no
94,forward,192,219,rookie,22,1359,no
95,forward,184,213,mid-career,32,12,no
96,center,207,247,veteran,27,1065,no
97,guard,190,207,mid-career,27,648,yes
98,forward,191,218,rookie,19,1855,no
99,guard,185,207,rookie,23,1497,yes
100,center,218,251,mid-career,35,60,no
101,forward,205,232,rookie,24,1416,no
102,center,201,244,mid-career,25,1111,yes
103,forward,192,219,rookie,22,1359,no
104,guard,169,183,rookie,24,1034,yes
105,forward,215,232,mid-career,30,434,no
106,guard,185,197,mid-career,29,178,yes
107,guard,182,199,rookie,21,1678,yes
108,guard,169,183,rookie,24,1034,yes
109,forward,190,215,rookie,22,1179,no
110,forward,198,221,rookie,22,1409,no
111,guard,185,200,mid-career,31,213,yes
112,center,201,244,mid-career,25,1111,yes
113,guard,182,199,rookie,21,1678,yes
114,forward,202,220,mid-career,31,542,no
115,forward,215,232,mid-career,30,434,no
116,guard,172,183,rookie,24,1383,yes
