ID,  POSITION,  HEIGHT,  WEIGHT,  CAREER STAGE,  AGE,  SPONSORSHIP EARNINGS,  SHOE SPONSOR
1,  forward,  192,  218,  veteran,  29,  561,  yes
2,  center,  218,  251,  mid-career,  35,  60,  no
3,  forward,  197,  221,  rookie,  22,  1312,  no
4,  forward,  192,  219,  rookie,  22,  1359,  no
5,  forward,  198,  223,  veteran,  29,  362,  yes
6,  guard,  166,  188,  rookie,  21,  1536,  yes
7,  forward,  195,  221,  veteran,  25,  694,  no
8,  guard,  182,  199,  rookie,  21,  1678,  yes
9,  guard,  189,  199,  mid-career,  27,  385,  yes
10,  forward,  205,  232,  rookie,  24,  1416,  no
11,  center,  206,  246,  mid-career,  29,  314,  no
12,  guard,  185,  207,  rookie,  23,  1497,  yes
13,  guard,  172,  183,  rookie,  24,  1383,  yes
14,  guard,  169,  183,  rookie,  24,  1034,  yes
15,  guard,  185,  197,  mid-career,  29,  178,  yes
16,  forward,  215,  232,  mid-career,  30,  434,  no
17,  guard,  158,  184,  veteran,  29,  162,  yes
18,  guard,  190,  207,  mid-career,  27,  648,  yes
19,  center,  195,  235,  mid-career,  28,  481,  no
20,  guard,  192,  200,  mid-career,  32,  427,  yes
21,  forward,  202,  220,  mid-career,  31,  542,  no
22,  forward,  184,  213,  mid-career,  32,  12,  no
23,  forward,  190,  215,  rookie,  22,  1179,  no
24,  guard,  178,  193,  rookie,  21,  1078,  no
25,  guard,  185,  200,  mid-career,  31,  213,  yes
26,  forward,  191,  218,  rookie,  19,  1855,  no
27,  center,  196,  235,  veteran,  32,  47,  no
28,  forward,  198,  221,  rookie,  22,  1409,  no
29,  center,  207,  247,  veteran,  27,  1065,  no
30,  center,  201,  244,  mid-career,  25,  1111,  yes
